count,data
607, 0  ms,  0  mm,  0  dBm 
608, 0  ms,  0  mm,  0  dBm 
609, 0  ms,  0  mm,  0  dBm 
610, 0  ms,  0  mm,  0  dBm 
611, 0  ms,  0  mm,  0  dBm 
612, 0  ms,  0  mm,  0  dBm 
613, 0  ms,  0  mm,  0  dBm 
614, 0  ms,  0  mm,  0  dBm 
615, 0  ms,  0  mm,  0  dBm 
616, 0  ms,  0  mm,  0  dBm 
617, 0  ms,  0  mm,  0  dBm 
618, 0  ms,  0  mm,  0  dBm 
619, 80270  ms,  367  mm,  -79  dBm 
620, 80472  ms,  433  mm,  -78  dBm 
621, 80720  ms,  442  mm,  -78  dBm 
622, 0  ms,  0  mm,  0  dBm 
623, 0  ms,  0  mm,  0  dBm 
624, 0  ms,  0  mm,  0  dBm 
625, 81061  ms,  470  mm,  -78  dBm 
626, 81326  ms,  536  mm,  -79  dBm 
627, 81512  ms,  545  mm,  -79  dBm 
